Date,Close,High,Low,Open,Volume,SMA_7,SMA_30,Pct_Change,Volatility,RSI,Target_Next_Close,Target_Direction
2020-01-30,9508.9931640625,9553.1259765625,9230.8974609375,9316.0166015625,32378792851,8929.163504464286,8357.228515625,0.02064730312029206,470.9261222461774,67.26951414805804,9350.529296875,0
2020-01-31,9350.529296875,9521.7060546875,9230.7763671875,9508.3134765625,29432489719,9058.46275111607,8428.907014973958,-0.016664631518128026,439.1574999678692,59.46489558740391,9392.875,1
2020-02-01,9392.875,9439.3232421875,9313.2392578125,9346.357421875,25922656496,9204.895228794643,8509.153841145833,0.00452869583961979,327.0934901984716,59.978512987907166,9344.365234375,0
2020-02-02,9344.365234375,9468.7978515625,9217.82421875,9389.8203125,30835736946,9311.685965401786,8575.803206380207,-0.0051645279666768795,187.8916944249704,65.43497414650393,9293.521484375,0
2020-02-03,9293.521484375,9540.3720703125,9248.6337890625,9344.68359375,30934096509,9366.500558035714,8638.565364583334,-0.005441113304621492,70.26191066044615,65.36410527458318,9180.962890625,0
2020-02-04,9180.962890625,9331.265625,9112.8115234375,9292.841796875,29893183716,9341.125279017857,8697.553548177084,-0.012111511652417528,99.56131249051184,60.39007985372589,9613.423828125,1
2020-02-05,9613.423828125,9701.2998046875,9163.7041015625,9183.416015625,35222060874,9383.5244140625,8759.027034505209,0.047104093835473426,141.67886134486128,68.94564318991374,9729.8017578125,1
2020-02-06,9729.8017578125,9824.619140625,9539.818359375,9617.8212890625,37628823716,9415.06849888393,8811.230680338542,0.012105773319493585,190.4546249851039,78.7279718895,9795.943359375,1
2020-02-07,9795.943359375,9834.716796875,9726.0029296875,9726.0029296875,34522718159,9478.69907924107,8868.433365885418,0.006797836503646293,234.5904873502373,78.97646674765734,9865.119140625,1
2020-02-08,9865.119140625,9876.7490234375,9678.91015625,9793.0703125,35172043762,9546.162527901786,8934.6349609375,0.007061676319697785,270.8910154340458,82.24177451033995,10116.673828125,1
2020-02-09,10116.673828125,10129.435546875,9850.392578125,9863.89453125,35807884663,9656.49232700893,8999.638948567708,0.02549940694219166,326.5588250907262,82.41274516991116,9856.611328125,0
2020-02-10,9856.611328125,10165.765625,9784.5634765625,10115.5595703125,39386548075,9736.93373325893,9060.274739583334,-0.025706324471686526,289.49612564960046,70.65798114453034,10208.236328125,1
